graph,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63
0,0.6429436,-0.30217555,-0.1913043,-0.1619437,-0.47531214,0.030289361,-0.35919046,-0.11865099,0.4522282,0.93874425,-0.7335716,0.87910575,0.52824765,-0.6130925,-0.13582283,-0.6475941,-0.30721295,-0.18634506,0.37173712,-0.28984055,-0.1600459,0.18052794,0.42710513,0.6216124,-0.7827413,0.28614506,-0.74101603,0.6089718,-0.36034092,-0.38087657,-0.86936694,0.6924148,-0.8203924,0.4521883,0.26189542,-0.19350572,-0.08774983,-0.45104256,-0.89255923,0.120271474,-0.54914045,0.052013136,0.10355518,0.43780985,0.45070925,0.027976051,-0.3569642,-0.29970348,0.26036993,0.16006127,-0.28814784,0.52336234,-0.8648981,0.8210324,-0.15771502,-0.6691526,-0.47981033,0.84643745,0.72989035,0.85949826,0.91159326,-0.18386821,-0.6969234,-0.8997045
1,0.7627634,-0.3663422,-0.22014779,-0.1910015,-0.5610679,0.045798816,-0.42175022,-0.13101389,0.52065986,1.1097888,-0.8616528,1.0267733,0.6225643,-0.7081079,-0.15674888,-0.7566839,-0.35583442,-0.2303429,0.44643027,-0.34467626,-0.19653589,0.20847657,0.48919463,0.72704387,-0.912261,0.33766422,-0.8656927,0.7212799,-0.4229433,-0.44938582,-1.0255047,0.80633277,-0.9687651,0.5311404,0.307485,-0.23036052,-0.105373405,-0.5201598,-1.0377345,0.1491844,-0.64549756,0.0629917,0.122704454,0.52629244,0.54007816,0.02982252,-0.431638,-0.34126708,0.29332545,0.1989006,-0.35006458,0.6128997,-1.0111779,0.95203066,-0.19225161,-0.7895561,-0.57618004,0.99662286,0.850251,1.0198632,1.0653968,-0.21312146,-0.80867124,-1.0583519
2,0.49761522,-0.23768456,-0.14266744,-0.12604113,-0.40060622,0.03502102,-0.28422052,-0.097927034,0.33888215,0.7456914,-0.5636491,0.6813181,0.41060704,-0.46849746,-0.100280724,-0.5002671,-0.23125917,-0.15644382,0.3041507,-0.21173029,-0.13548103,0.13387413,0.32249996,0.48731327,-0.5933113,0.23092686,-0.5725542,0.4741952,-0.28691778,-0.3010919,-0.675562,0.54035634,-0.6259664,0.36043248,0.1807149,-0.15932688,-0.059017226,-0.33810025,-0.69026023,0.08526889,-0.431055,0.047720563,0.09246255,0.3606587,0.36911082,0.0015743732,-0.26025757,-0.23791665,0.20007773,0.122977875,-0.22927107,0.42551246,-0.6589564,0.627993,-0.13407892,-0.5328146,-0.37946418,0.6757254,0.55353683,0.67224765,0.69174033,-0.15005712,-0.57316566,-0.71190095
3,0.46472886,-0.20027511,-0.13087684,-0.108363725,-0.34503758,0.024066333,-0.26065308,-0.08241702,0.32479534,0.65446967,-0.49726215,0.60693324,0.378232,-0.41513184,-0.08534329,-0.4536678,-0.21085414,-0.12990068,0.276107,-0.18404049,-0.11773397,0.12177683,0.2986954,0.43624163,-0.54500824,0.2030672,-0.49577028,0.41059718,-0.26377633,-0.27897158,-0.61112916,0.49655107,-0.5572661,0.31737602,0.17660092,-0.14527033,-0.061760765,-0.29910228,-0.6287058,0.07632882,-0.39436102,0.035578027,0.07176172,0.31747743,0.32515413,0.03282399,-0.25380334,-0.21749361,0.17430462,0.099193975,-0.21453339,0.3617861,-0.6071656,0.56812495,-0.1092942,-0.471668,-0.33269036,0.61730623,0.49851698,0.60722315,0.62189037,-0.13538808,-0.49690643,-0.64335364
4,0.42793798,-0.20398203,-0.117735915,-0.111931264,-0.3345892,0.025101412,-0.22938165,-0.0818883,0.29746684,0.6134297,-0.48609275,0.55830765,0.36165187,-0.38550738,-0.09107843,-0.4228846,-0.19224757,-0.13162348,0.2503334,-0.18686973,-0.11281697,0.10291474,0.28208882,0.4246971,-0.5002972,0.19404694,-0.47757912,0.39054382,-0.2378988,-0.25113052,-0.58253485,0.47246912,-0.51241356,0.30451578,0.15054348,-0.13885392,-0.051513124,-0.26938242,-0.57795316,0.07598296,-0.38218233,0.025362464,0.06883205,0.30836794,0.30891222,0.015950646,-0.21922861,-0.21738614,0.16220814,0.09364757,-0.19219054,0.3514251,-0.55942327,0.5348185,-0.11850038,-0.44983232,-0.32066247,0.57091004,0.46360266,0.56219244,0.5852323,-0.1432238,-0.48285696,-0.6069399
5,0.37953994,-0.20428908,-0.11530943,-0.11018383,-0.33483312,0.01573177,-0.20169659,-0.112041086,0.23271045,0.5836754,-0.45306748,0.5029523,0.32334116,-0.34177062,-0.10032399,-0.4079959,-0.18415809,-0.14247186,0.22418933,-0.20152937,-0.097493716,0.091513306,0.24436042,0.39643323,-0.43678784,0.16552198,-0.46304095,0.37690684,-0.23404852,-0.21084088,-0.53097606,0.4148696,-0.46458966,0.28711477,0.11999598,-0.12842,-0.040907502,-0.23674244,-0.50957716,0.05557261,-0.35691604,0.0324068,0.06411068,0.27451006,0.2901411,-0.030795801,-0.18091208,-0.19772106,0.14715073,0.10288517,-0.15173556,0.31910527,-0.5028525,0.46556246,-0.12304365,-0.41185638,-0.30289033,0.50710994,0.43114406,0.5111405,0.5353779,-0.1465211,-0.45735955,-0.5509001
6,0.34203988,-0.20273216,-0.11254198,-0.09184585,-0.34452042,0.016199777,-0.18921374,-0.122791566,0.2028042,0.5792336,-0.45488796,0.47218305,0.29485804,-0.32244673,-0.10736005,-0.38481346,-0.1893444,-0.13651554,0.18920898,-0.22488995,-0.09191812,0.078452416,0.22567014,0.376813,-0.39423764,0.1470049,-0.45346484,0.35056126,-0.22183473,-0.19156316,-0.5010241,0.3791821,-0.46214336,0.27447703,0.086815126,-0.12653272,-0.030566731,-0.24171193,-0.46395794,0.03563107,-0.330758,0.027496606,0.06607337,0.25170532,0.28466877,-0.053523112,-0.15205652,-0.19742244,0.1291948,0.094138674,-0.13516636,0.319728,-0.46488315,0.43429217,-0.12608819,-0.3762341,-0.2800658,0.45787802,0.43207696,0.4765334,0.49640822,-0.16159585,-0.44118777,-0.52691805
7,0.32935697,-0.18714327,-0.10092796,-0.08710159,-0.30494976,0.016349284,-0.1667001,-0.100570746,0.19312248,0.523045,-0.4184034,0.4285205,0.27151084,-0.29892817,-0.09975568,-0.35152647,-0.17603667,-0.13790973,0.18908927,-0.19720508,-0.08661928,0.079889975,0.20972922,0.3421835,-0.36911273,0.1427255,-0.4136266,0.3305321,-0.19036093,-0.18580122,-0.45462155,0.34579715,-0.41106024,0.24147202,0.08306256,-0.106033795,-0.022692345,-0.223054,-0.43286997,0.03511256,-0.30665508,0.03110045,0.06465292,0.23785457,0.2720449,-0.04238532,-0.14760466,-0.1776135,0.12692098,0.089808516,-0.12843673,0.28603366,-0.4258019,0.39961123,-0.10956907,-0.3496334,-0.2599189,0.42336562,0.38776773,0.42939213,0.4482694,-0.13693918,-0.40818167,-0.48838657
8,0.29641604,-0.14280353,-0.08000966,-0.08175663,-0.23840219,0.018149035,-0.16773903,-0.060957693,0.20654817,0.44150466,-0.33808538,0.3906674,0.2483116,-0.27864912,-0.06835144,-0.30242583,-0.13923681,-0.0979692,0.17969057,-0.14608619,-0.08062521,0.06856463,0.19589187,0.30551377,-0.35232893,0.13152228,-0.34303135,0.2837848,-0.16667725,-0.17832638,-0.40424475,0.32288408,-0.35485923,0.21501274,0.11221038,-0.092381716,-0.039174806,-0.18802208,-0.40669823,0.04313864,-0.2720547,0.02813427,0.045380216,0.20530176,0.22151236,0.014115149,-0.15587257,-0.14614879,0.10630603,0.06637161,-0.12626748,0.24719556,-0.39564037,0.36408576,-0.07770799,-0.31772923,-0.23306195,0.39885643,0.32330215,0.40082124,0.4048365,-0.09977963,-0.33575794,-0.4203721
9,0.24025232,-0.12338521,-0.07196577,-0.061294492,-0.20496112,0.02004989,-0.13439097,-0.051983345,0.16218647,0.3601073,-0.28328314,0.3182885,0.20281662,-0.2217044,-0.05277848,-0.25327098,-0.11313367,-0.073900536,0.14405921,-0.11655005,-0.061173115,0.058992054,0.160549,0.247071,-0.27639136,0.10412133,-0.2794705,0.22889337,-0.13950925,-0.1399536,-0.32870862,0.26193467,-0.30018836,0.17657481,0.08431074,-0.07179838,-0.018940318,-0.15119392,-0.32480568,0.03958874,-0.21979116,0.01780221,0.03930203,0.17281179,0.18604255,-0.004868628,-0.12368697,-0.1310826,0.09515814,0.05580751,-0.10203649,0.20873417,-0.3144155,0.29553637,-0.06756795,-0.25698495,-0.18033694,0.32524386,0.27947813,0.3223039,0.33122703,-0.08595756,-0.28119496,-0.3466798
10,0.7507482,-0.35624427,-0.21356355,-0.1919295,-0.53849524,0.048795413,-0.41994128,-0.12219437,0.51060474,1.0844548,-0.8397854,0.99430984,0.61640316,-0.6938595,-0.14451468,-0.74012965,-0.35687715,-0.22906907,0.4330177,-0.32745352,-0.19766723,0.19933102,0.49086097,0.7153551,-0.8951045,0.3255845,-0.83608747,0.70171165,-0.4213936,-0.43673864,-0.9949094,0.7924927,-0.9361457,0.51651603,0.30850035,-0.2278356,-0.111606516,-0.50451183,-1.0144972,0.1411257,-0.63123375,0.06582475,0.11069126,0.515714,0.5218597,0.03052259,-0.416128,-0.34571066,0.29387835,0.19947624,-0.34607217,0.5930923,-0.99042153,0.94054824,-0.1853779,-0.7789575,-0.55063194,0.98109597,0.832682,1.0009593,1.0506774,-0.21539864,-0.7889503,-1.0360235
11,0.6292611,-0.29337823,-0.1869106,-0.16330484,-0.45891565,0.044643503,-0.3434162,-0.10615339,0.42488125,0.89797944,-0.694525,0.83169556,0.5061369,-0.57441306,-0.11801867,-0.61585337,-0.28378546,-0.1860035,0.35338348,-0.27441663,-0.15648016,0.1630495,0.40027332,0.5878773,-0.7365657,0.26390558,-0.6861095,0.57867444,-0.3523174,-0.3665133,-0.8325109,0.64683425,-0.78113043,0.42089754,0.2492339,-0.1950192,-0.09136355,-0.42007142,-0.8420259,0.113198474,-0.51756823,0.055130124,0.09240912,0.4145799,0.43746087,0.026948765,-0.33955523,-0.28559867,0.24395166,0.1581569,-0.28096008,0.49306878,-0.8295683,0.7698477,-0.14899932,-0.63754135,-0.4655589,0.8176228,0.68739337,0.8289494,0.86548537,-0.17177966,-0.6678531,-0.86296034
12,0.5794282,-0.26928416,-0.17543381,-0.1452667,-0.42098662,0.04792034,-0.3153394,-0.09046471,0.3967092,0.8393051,-0.6404658,0.77920413,0.47054824,-0.5253052,-0.113494165,-0.56980443,-0.2766501,-0.18207155,0.3350165,-0.2461827,-0.14488825,0.15145123,0.37893963,0.5449489,-0.6929936,0.25238928,-0.63874,0.54111475,-0.31956708,-0.33290452,-0.7703058,0.6148741,-0.7234873,0.39920285,0.23457223,-0.18698068,-0.07272754,-0.38324386,-0.7867056,0.1069669,-0.47914946,0.04666706,0.083829604,0.39576554,0.4112345,0.009312512,-0.31668526,-0.2646818,0.22504894,0.15603478,-0.2516056,0.45818755,-0.7671269,0.72641456,-0.13554876,-0.600546,-0.43421677,0.75976425,0.6356253,0.77390444,0.79568434,-0.16136263,-0.61489105,-0.7980081
13,0.572014,-0.26143715,-0.16375908,-0.13534445,-0.40907818,0.04285919,-0.32190582,-0.09827635,0.38365397,0.8274124,-0.62834865,0.7624325,0.46412334,-0.5277664,-0.10374792,-0.56877106,-0.25721514,-0.16870631,0.319311,-0.23405842,-0.14886534,0.1517507,0.36769858,0.5325434,-0.67660314,0.25122234,-0.625065,0.52813196,-0.32030496,-0.32697535,-0.7603496,0.60619915,-0.7035946,0.3874429,0.23091577,-0.17663051,-0.08281507,-0.38183653,-0.7610347,0.10505715,-0.47059783,0.051487338,0.085858226,0.39260146,0.40836623,0.0132938465,-0.30673662,-0.25686628,0.2188877,0.14926046,-0.2554419,0.45104843,-0.7546449,0.70535505,-0.14056358,-0.58122534,-0.42383286,0.75116736,0.6250274,0.7632991,0.78342575,-0.16187322,-0.61235774,-0.78839487
14,0.5653651,-0.26604134,-0.15903041,-0.13571335,-0.4133862,0.040376443,-0.31509247,-0.09666046,0.3818229,0.8028884,-0.611681,0.7419884,0.4539071,-0.5217852,-0.10971182,-0.56233656,-0.2534476,-0.17526047,0.31715223,-0.22787607,-0.14614391,0.15602699,0.36841974,0.5332725,-0.6621791,0.24921212,-0.62213254,0.51816577,-0.3152148,-0.32626918,-0.74239105,0.5852437,-0.69737494,0.38420877,0.2215917,-0.16892387,-0.06707599,-0.3838984,-0.7522226,0.10094814,-0.46716464,0.042493235,0.08049134,0.3854525,0.39339375,0.024744706,-0.29745123,-0.255703,0.21256752,0.13783504,-0.24569498,0.44986433,-0.7311974,0.6962838,-0.14258774,-0.56780046,-0.4216685,0.73274636,0.61230475,0.7456794,0.7657689,-0.16412626,-0.6062071,-0.78145415
15,0.54395854,-0.25800395,-0.16199167,-0.12969035,-0.4157051,0.033896964,-0.30040652,-0.08653496,0.3800935,0.80349463,-0.60695875,0.7332425,0.45230767,-0.50368625,-0.11005093,-0.54478306,-0.24881552,-0.16942354,0.32124844,-0.23074989,-0.14131767,0.15004401,0.34950027,0.5147024,-0.64508533,0.2397258,-0.61556756,0.50194657,-0.30893388,-0.32178077,-0.72612745,0.5761466,-0.6805219,0.3837476,0.21290694,-0.16914839,-0.07368659,-0.36839154,-0.7379918,0.10253974,-0.46477172,0.03975165,0.08387649,0.37887093,0.39265895,0.02423505,-0.3013261,-0.25944003,0.20453158,0.14262597,-0.24387768,0.45068696,-0.72542924,0.6921186,-0.1346389,-0.57305735,-0.41085085,0.7226041,0.59902257,0.7383297,0.7493417,-0.15836737,-0.59594387,-0.76024413
16,0.5355331,-0.25708342,-0.16194934,-0.12439684,-0.40257704,0.04363111,-0.30171642,-0.09515557,0.3717301,0.77847236,-0.5961814,0.7277495,0.44243735,-0.49432665,-0.1005295,-0.5273087,-0.24807966,-0.15496205,0.31060448,-0.22218242,-0.13947397,0.15176676,0.34665057,0.5122592,-0.6313116,0.23693696,-0.60061663,0.49361894,-0.29866734,-0.31229997,-0.7209281,0.56648815,-0.67303485,0.3749271,0.20602205,-0.16190986,-0.074209034,-0.36395645,-0.7327934,0.089082815,-0.4419617,0.041058157,0.0815955,0.37869594,0.3822692,0.01783361,-0.2989559,-0.24564393,0.19853045,0.12846838,-0.23599635,0.4267493,-0.7177862,0.6675969,-0.13092877,-0.55635315,-0.40359777,0.7048102,0.594531,0.7173132,0.73966426,-0.14514267,-0.5713514,-0.7463815
