graph,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
BNP_0,-1.1159234,-0.2578436,0.27778208,0.29507658,0.6900529,1.0220917,-0.57892305,1.4037424,-0.012606018,-1.0108364,0.22791621,-0.02410277,-0.36789578,1.341358,0.4777575,-0.9583401,0.6698845,-1.8423138,0.3885374,0.7137392,0.0006099161,-0.90905607,0.78327423,0.6566393,-0.7932158,0.36934146,-0.5191812,0.77261317,0.08617007,-0.8922155,-1.6608589,0.6722143,0.8598309,-0.33030856,0.49144578,0.26964965,-0.48805296,0.016837077,-0.32688925,-0.37103355,-0.68232405,1.1422944,-0.7246631,-0.038663957,1.4519262,1.0059627,-0.56084573,-1.3442122,0.53846836,0.009128646,-0.39191446,-0.7535307,-0.821203,-0.18614535,0.08716039,0.8401143,-0.93114233,-0.00097103365,-0.9875399,-0.653478,0.25582877,-0.18310766,0.21656226,-0.8512179,-0.12139839,-0.9572823,1.2683294,-0.95781034,0.53928936,-0.41661096,0.030367717,1.6154007,1.2882291,0.12348148,-0.9074483,0.11096175,0.6350936,0.37546158,-0.13785885,-0.016745923,-0.8169696,-0.3965158,0.8872676,-0.30266836,0.5045202,0.7241162,-0.3878156,0.7085112,-1.6942177,-1.147157,0.7007527,-0.62753993,0.5675834,-1.240847,-1.1475054,0.87339616,0.17695117,-0.1573394,0.017617231,-0.28107092,-0.88438785,-0.27362928,-0.1278201,-0.72006875,-0.8416185,-0.3798956,0.03692363,-1.1792305,0.26422262,0.29415566,-0.2801109,-0.73239994,1.2399751,-0.09161239,-0.8778723,0.535784,0.14206448,0.65376526,0.17122796,0.56496775,-0.51625544,-0.2765625,-0.7986695,-0.8401353,-0.28530362,0.37471908,-0.73534834,-0.712337
BNP_1,-0.3559916,-0.018440893,0.33529222,0.46316186,0.41323143,0.3257104,0.066254064,0.6166435,0.3035328,-0.5825617,-0.056412,0.18284011,-1.016882,0.23516452,0.11041875,0.07656516,-0.30425978,-0.4988051,0.58752376,0.055251185,-0.69382095,-0.37193143,-0.25293317,-0.046254143,0.014806942,-0.60111296,-0.26244155,-0.38237378,-0.08661745,-0.50715643,0.06394681,-0.5003611,-0.164015,0.37247762,0.21700771,-0.23339655,0.062236875,0.25357327,-0.011832082,0.39804658,0.23485932,0.17532234,-0.23414026,-0.4157583,-0.048786934,-0.20475248,-0.44887158,-0.79442483,-0.39819437,-0.11321691,-0.1277779,0.051230557,-0.36432317,0.050157923,0.36182243,0.6320624,-0.013852941,-0.21363916,-0.4242172,-0.68102354,-0.2054261,0.32404667,0.29208782,0.079563506,0.21857727,-0.60885745,-0.085923806,-0.18877119,-0.073756225,-0.82395315,-0.028597157,0.0050454545,0.41496846,0.5194507,-0.056676034,-0.19448902,-0.19386995,-0.14621028,-0.083345346,-0.60789466,-0.061495636,-0.26933876,0.50576425,0.22548653,-0.23903681,0.045509093,0.04101176,0.22260752,-0.5157599,-0.14840852,0.1992747,-0.19215539,0.12381145,-0.568201,-0.40432423,0.58350015,0.12037137,-0.050327457,-0.21890934,0.19214056,-0.1571083,0.18771873,0.44554946,-0.00075358944,-0.12684198,-0.155251,-0.23659411,-0.46045843,-0.06733813,0.20599426,0.13108319,-0.22654115,0.2922932,-0.015801093,-0.6599897,0.21919213,-0.039318234,-0.63045406,-0.39916474,0.251503,-0.14945613,-0.092457406,0.02146218,-0.54162115,-0.030383287,-0.10737477,-0.14891693,-0.3650439
BNP_10,0.04887238,-0.4011906,-0.475774,-0.13643992,0.3356011,0.08360005,-0.580843,-0.114255585,-0.27792466,-0.24311933,0.32035142,-0.3466892,-0.9459227,-0.030753512,-0.25647515,0.5347653,-0.6086811,0.3495339,0.70275825,-0.18601806,-0.46996585,-0.055479843,-1.0707617,-0.77358717,0.20080912,-1.0034553,0.31507576,-0.29723203,-0.09131214,-0.16786249,0.5325072,-0.12653805,-0.581692,-0.26837325,-0.53550506,-0.36792916,-0.30390215,-0.413561,0.07438903,0.6233703,0.6533443,-0.40163782,0.39906707,-0.32331392,0.16065332,0.1192011,-0.5296091,0.11601197,-0.1549863,0.64011973,-0.3928266,0.07998946,-0.39721993,0.45149052,-0.16063157,0.38718495,0.3018254,-0.37936303,-0.34379938,-0.05231611,-0.106636,0.7275719,0.17230745,0.10857013,-0.22635245,-0.05312787,0.1795285,0.12839241,0.06415382,-0.4352918,-0.14930506,-0.69895923,0.3028723,-0.01891768,0.19826952,0.055438932,-0.5390457,-0.21327409,-0.5196955,-0.3281494,0.15644635,0.19128555,0.20438927,0.77262604,0.28486282,0.350308,-0.22591704,0.49891418,0.2942666,0.17824623,0.7013286,-0.57909715,-0.24678653,-0.3664686,-0.39941436,0.118296504,0.18312317,-0.27736825,0.18510574,0.45056087,-0.09883431,0.6826073,0.49206832,-0.45316273,0.31268662,-0.0351514,0.18763247,0.24439575,0.4494381,0.22746806,-0.6671639,0.21578367,0.2544792,-0.7777043,-0.8313045,0.3770489,0.07750606,-0.5638479,-0.19692187,-0.32041594,-0.30374694,-0.0035006288,-0.0076743346,-0.12277635,0.72206944,0.3915127,-0.4829437,0.18579596
BNP_100,-0.24666373,-0.2316831,-0.25280818,0.096562505,0.35491797,0.24094914,-0.49971864,0.23802559,-0.0690928,-0.430921,0.22286911,-0.45029616,-0.35734418,-0.011366613,-0.09751413,0.14809158,-0.35942465,0.05231449,0.38873065,-0.019073028,-0.5080994,0.07017235,-0.59455585,-0.57048154,0.1350208,-0.7624143,0.30555767,-0.20976765,-0.10631373,-0.26924497,0.37943852,-0.12006854,-0.22847643,-0.2504461,-0.123905145,-0.39416975,-0.32654384,-0.46320316,0.23529136,0.3792472,0.39971158,-0.39913723,0.3092258,-0.482362,0.097539924,0.11448675,-0.514082,-0.19311062,-0.09419636,0.29058942,-0.43279108,0.30160454,-0.27304366,0.1998593,0.013130104,0.27793065,0.087279305,-0.15923506,-0.28091598,-0.21917501,-0.21115775,0.56335324,0.25741476,0.097966395,-0.03600587,-0.0679611,0.13257158,0.09410346,0.046534885,-0.31767353,0.007202984,-0.4658051,0.25929922,0.23269191,0.06653748,0.016840296,-0.35314372,-0.25930467,-0.5284112,-0.18537043,0.07987087,-0.024403086,0.058343966,0.60036683,0.17105207,0.35334516,-0.21647403,0.36025462,0.031961016,0.05684174,0.55182505,-0.46029463,-0.263935,-0.39678478,-0.60815126,0.11961389,0.056442905,-0.28347772,0.14031495,0.5381427,-0.096474655,0.23619707,0.33656323,-0.26975566,0.15445532,0.14533813,0.44940934,-0.0027952422,0.45255014,0.14190158,-0.33136433,0.17078237,-0.03887257,-0.38282004,-0.6839177,0.19535588,0.023016255,-0.376144,-0.16046003,-0.17014968,-0.16514772,-0.063421935,-0.07922121,-0.3773191,0.634658,0.32569575,-0.36608315,0.039993957
BNP_1000,-0.23118429,-0.18428609,-0.01959519,0.31762958,0.2947005,0.3482465,-0.18165885,0.20887893,-0.122293554,-0.5877823,0.017546633,-0.2156836,-0.49783492,0.29319498,-0.19840023,-0.0071819867,-0.07357785,-0.2251805,0.536983,0.009249091,-0.36418906,-0.24191415,-0.33399776,-0.41212037,-0.07041343,-0.62254745,-0.10644634,-0.35464698,0.17694212,-0.27219647,-0.019282578,-0.26432487,-0.1861139,0.050014168,-0.12693384,-0.3620436,0.091323085,-0.25098133,0.19103621,0.6271091,0.14807907,-0.17725821,0.05410663,-0.38820553,0.014139609,-0.014012918,-0.5164651,-0.33318484,-0.109971434,0.028859438,-0.25773057,0.056894913,-0.4208545,0.114688486,0.057312373,0.6135078,0.18639037,-0.20883915,-0.24477111,-0.4381988,-0.44844696,0.40892756,0.6204237,0.051068574,-0.05326828,-0.14376758,0.157056,-0.074429564,-0.15978055,-0.39020887,-0.042790513,-0.059360098,0.40265992,0.51099646,0.062080815,0.0078237085,-0.12535468,-0.0049832244,-0.50745434,-0.3158893,-0.14334887,-0.114060566,0.42314357,0.5557543,0.12505764,0.13769609,0.011965968,0.63734823,0.031066831,-0.18837433,0.28102386,-0.4465082,-0.10786625,-0.608995,-0.38980097,0.21696232,-0.062382463,0.012367967,0.098947026,0.27526656,-0.14703332,0.2136566,0.25722143,-0.21833427,0.072580665,0.19876836,0.22666241,-0.24231945,0.1350258,-0.038400188,0.05474724,-0.04477448,0.023445489,0.06736423,-0.6990743,0.34401673,0.11356074,-0.14929727,-0.20718744,0.11409174,-0.10601366,-0.27061275,-0.1981116,-0.027118107,0.31108755,0.05401322,-0.31243795,-0.17198579
BNP_101,-0.11166787,-0.3442844,-0.4016117,0.18319616,0.2522268,0.25831342,-0.27141762,0.2737843,-0.13055025,-0.3837767,-0.06198349,-0.18455195,-0.3380792,0.18227863,-0.16423085,0.15008827,-0.26383588,-0.16341546,0.36500353,0.020489834,-0.28295255,-0.050947044,-0.74965024,-0.46623024,0.06155162,-0.39409027,0.0032097404,-0.13367562,-0.08006658,-0.22458845,0.14769322,-0.27678898,-0.094331324,-0.06917942,-0.08229989,-0.15820016,-0.29126388,0.010921958,0.027426481,0.23189473,0.30011106,-0.105789945,0.0012930976,-0.22602461,0.12894885,0.26969475,-0.24175689,-0.22114643,-0.036678974,0.23575044,-0.07863378,0.012264609,-0.27978048,0.3172368,0.04495441,0.15197606,0.21555358,0.07486344,-0.44577047,-0.13593845,0.1994678,0.617805,0.18253937,0.028611239,-0.23286007,-0.26274708,0.048334986,-0.21534012,0.30357173,-0.13395095,-0.057282265,-0.3075076,0.2486713,0.1007386,-0.110773265,0.12175695,-0.053365473,-0.19342048,-0.37343386,-0.24986312,0.10313894,-0.019043146,0.121863715,0.21103355,0.25134414,0.38427427,-0.16198029,0.18335965,-0.0017764058,0.23006104,0.42105076,-0.24797484,-0.114511035,-0.39168948,-0.41942152,0.19921039,0.14535344,-0.17601784,-0.09045747,0.062644884,-0.11108025,0.45956287,0.19721179,-0.2847015,-0.033215977,-0.20781653,0.019902017,-0.13608383,0.23206262,0.03367533,-0.46632,-0.058371954,0.26560083,-0.44223496,-0.33255234,0.2924205,0.13702913,-0.3341153,-0.11817413,-0.1587217,-0.33459136,0.0873927,-0.15653268,-0.38098177,0.3682032,0.20403786,-0.26934582,-0.04418966
BNP_102,-0.007854598,-0.2895384,-0.6627606,-0.2965823,0.37091613,0.14229703,-0.49476853,0.034380186,-0.2549948,0.11208157,0.31661248,-0.4357131,-0.6973392,0.28866422,-0.40261024,0.4623339,-0.5750521,0.19956636,0.30400687,-0.05220721,-0.33672237,0.08581669,-0.88816196,-0.8593575,0.029570602,-0.90678376,0.6802075,-0.0999687,0.08815044,-0.20859753,0.42385602,-0.1841202,-0.28823352,-0.61836416,-0.41030338,-0.37651122,-0.3613159,-0.5950286,0.11422812,0.4973877,0.35689744,-0.38463575,0.44461495,-0.3260252,0.22328414,0.07706307,-0.17396732,0.038198937,0.31266606,0.73043764,-0.36243773,0.104678266,-0.46911374,0.46201918,-0.30290183,0.13253911,0.17185389,-0.15725037,-0.009031461,-0.041513205,0.14207084,0.7707238,0.008330425,-0.003953075,-0.13641548,0.2085069,0.10069182,0.16442038,0.23153266,-0.31650963,-0.2115189,-0.44378498,0.1696188,-0.15526475,0.2372476,0.15673164,-0.21563953,-0.18546027,-0.5407704,-0.050163202,-0.058503367,-0.02152031,-0.09489139,0.5242007,0.5912,0.59497565,-0.08898377,0.49978164,0.15096386,-0.0983091,0.67635006,-0.43938395,-0.2828213,-0.45786005,-0.45120555,-0.035347376,0.17291409,-0.29568782,0.124564506,0.3864385,0.105022326,0.48002437,0.22367743,-0.57980555,0.29088977,0.09512759,0.3866505,0.10291046,0.528399,0.06378088,-0.5321121,0.11926367,0.22401145,-0.69421494,-0.63810676,0.2544906,0.24269414,-0.21446,0.010633985,-0.38682678,-0.13752651,-0.023894379,-0.21567076,-0.36777148,0.6245012,0.33627123,-0.3494315,0.09234663
BNP_103,-0.25928307,-0.05603168,-0.50404036,0.11501631,0.08012907,0.35388035,-0.37494192,0.0059898845,-0.25828806,0.032320835,-0.12173352,0.08814121,-0.8997417,0.51144665,-0.3220496,0.57547617,-0.3934394,-0.18678342,0.46237442,0.064624585,-0.080641456,-0.10839738,-0.40830305,-0.31496292,-0.19023284,-0.07856311,0.06095587,0.023058169,0.06541563,-0.20116805,0.09730278,-0.25250494,-0.15522128,0.05412829,-0.3236797,-0.23230879,-0.19091943,0.25937212,0.048724182,0.13652669,0.0030603157,0.21424091,0.10324758,-0.102656335,0.08250915,0.102274835,-0.16717878,-0.15328506,0.16560222,0.27102628,-0.13121192,0.25458503,-0.36752456,0.0031149092,-0.071352445,0.2707499,0.13869153,0.22759959,-0.11682685,-0.20522146,0.32152653,0.23851341,0.33886862,0.0080047045,-0.07743784,-0.14709365,-0.16491854,-0.47686505,0.21800296,-0.25715235,-0.38658124,0.13299598,0.288097,0.009427014,-0.10131702,0.092034616,0.00535196,0.21313304,0.10104912,-0.036499258,-0.3887639,-0.08635495,0.12613554,0.11910855,0.09836928,0.17448294,-0.007728604,0.6506996,-0.28354964,0.11022551,0.1344765,-0.34437743,0.5052255,-0.24937265,-0.15282467,0.44132188,0.28996682,0.025205266,-0.08112185,0.11141058,-0.32633713,0.10873879,0.3452315,-0.34007782,0.029011505,-0.32361546,-0.3401255,-0.22830029,0.02366548,0.14005962,-0.27464265,-0.20904799,0.1560152,-0.46488875,-0.61609054,0.26164174,0.12612274,-0.11026474,-0.15968765,-0.1582833,-0.05489535,0.37352046,-0.16545223,-0.27215847,0.43776205,0.2255936,-0.20247376,-0.5359476
BNP_104,-0.56198233,-0.037314195,-0.05256934,0.16016462,0.13593847,0.50116825,-0.19786677,0.46304184,-0.20413037,-0.15780553,0.071989685,0.0049017947,-0.28895175,0.46653944,0.083088,0.0020971943,0.13795617,-0.56553483,0.2853324,0.24076557,-0.16566008,-0.37303132,0.071584515,0.09374283,-0.25056532,0.14925991,-0.33129016,0.2278678,0.12755947,-0.38538146,-0.4763846,0.055966076,0.18638349,-0.019558115,0.1679876,-0.16518418,-0.21220846,0.024939515,-0.03786273,-0.105448075,-0.20033382,0.2588513,-0.2902863,-0.058446866,0.43265662,0.27945498,-0.2758493,-0.4052361,0.17073222,0.053935852,-0.102578685,-0.05768062,-0.34825286,-0.03963164,0.09018997,0.32626536,-0.21201248,0.20081598,-0.37484437,-0.36129624,0.1699263,0.016680907,0.049012095,-0.114072934,-0.02388227,-0.366335,0.33306926,-0.47389317,0.16969498,-0.28033152,0.0165233,0.47417054,0.49177665,0.09830795,-0.37264547,0.07809837,0.25440294,0.21235964,0.088084824,-0.016074013,-0.33815357,-0.1377455,0.26672906,-0.0740315,-0.033836048,0.25283492,-0.14119838,0.44919074,-0.8121156,-0.13985017,0.23811695,-0.2715847,0.4512601,-0.6393231,-0.26427776,0.33942237,0.23386632,-0.037065648,-0.06645439,-0.01986268,-0.35035297,-0.18910019,0.08302224,-0.23328881,-0.3041986,-0.39255515,-0.03874746,-0.5968077,0.13764182,0.18830952,-0.2824014,-0.41760543,0.32916376,-0.07810992,-0.470048,0.2789654,0.266503,0.14010201,0.075659744,0.12293751,-0.22335313,0.15867102,-0.3935461,-0.2171606,0.11389957,0.060302146,-0.3815136,-0.42036104
BNP_105,0.11626677,-0.2790618,-0.46031016,-0.22462374,0.35728547,0.1828981,-0.40320957,-0.0028772238,-0.1324603,-0.12331096,0.30173856,-0.4946577,-0.52749896,0.173173,-0.14013118,0.459165,-0.34432834,0.0023671514,0.5244548,-0.06011594,-0.33493328,0.1176613,-0.6943666,-0.6895203,0.18510333,-0.81074125,0.6188257,-0.058630306,0.070969805,-0.23989211,0.39912286,-0.01033014,-0.19963372,-0.43692347,-0.39248085,-0.214131,-0.38233662,-0.36478862,0.11254871,0.44518915,0.5266692,-0.2615608,0.2902599,-0.114185445,0.018717317,0.16716745,-0.108612604,-0.07840187,-0.004336981,0.6566598,-0.32375944,0.0720733,-0.38107276,0.37305412,-0.013209091,-0.0020876497,0.27263936,-0.1400821,-0.37192184,-0.12173594,0.13591477,0.55912644,-0.06855698,0.13373876,-0.16316138,-0.037168827,0.012457532,0.22919063,0.12609176,-0.5509584,-0.15215407,-0.6097285,0.19869667,0.025856204,0.15563145,0.057254903,-0.1742918,-0.16420649,-0.43485937,-0.082539916,-0.09101944,-0.122323245,-0.04566038,0.3980262,0.44792327,0.40729824,-0.17363314,0.28486368,0.15928303,0.15621918,0.57765806,-0.53692776,-0.121452846,-0.5483085,-0.5081033,0.123045854,0.17091966,-0.29687145,-0.096839644,0.481736,-0.14495441,0.4563637,0.48624173,-0.38000664,0.24950716,0.091683835,0.34798357,0.16926134,0.56002694,0.0787698,-0.74860144,-0.011709664,0.17910452,-0.5662449,-0.4979444,0.29976526,-0.03578646,-0.2839747,-0.08956504,-0.15143456,-0.24341078,-0.0032637098,-0.13373213,-0.2256011,0.72843206,0.3712129,-0.43984017,0.06900323
