graph,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,0.0047908584,-0.00431261,-0.0005392023,0.00019504453,0.002796928,-0.000511346,0.0013593296,-0.0032550106,-0.0017551078,0.0018801469,0.0014798746,0.0014888524,-0.00447971,0.0016308101,-0.0014519179,-0.0010084203,-0.0007702435,-0.0006746366,0.0045016683,-0.003157972,0.0011739997,0.000942875,0.00064894016,0.0039519663,0.0035059194,0.001489307,0.0029677718,0.0020022183,-0.0020556152,-0.00047621262,-0.00075322785,0.00089792546,-0.00059002894,0.0008791042,-0.0028746198,0.0036639883,0.0011813138,0.0026780977,0.0006363844,0.00196379,0.003558865,-0.0029254607,-0.0024722158,0.0003337009,0.0017022577,0.0027067184,0.0001528202,0.0016690189,0.0034735587,0.0025900735,-0.0020814382,0.0021114321,-0.0015085479,-0.0007776142,-0.0009920505,0.00306092,0.0021317445,0.00097355124,0.005083596,-0.00469138,-0.002623822,-0.0034528635,-0.0026441033,-0.0001578268,0.0016673561,-0.0029386145,0.0015972641,-0.00082182424,-0.003740798,-0.0025665325,-0.0005068319,-0.0029624342,0.0021586504,-0.0014899299,-0.0009777535,0.0013555816,0.0012535302,-0.0019120378,-0.00065386744,0.0014352018,-0.0032912907,0.00081788626,-0.0015668877,-0.001393236,0.0026410313,-0.0014425617,-0.00059197843,0.0034469808,-0.0031760486,0.0026072087,0.00033432225,-0.0028177071,-0.0033237291,0.0026254712,0.0010321065,-0.0017019977,0.0036114766,0.0005634024,-0.0017304523,0.0041955435,0.002717984,-0.00364831,-0.004400046,-0.002032229,0.0010721243,-0.00086889317,0.0017708896,-0.00144744,0.001770669,-0.0003805458,0.0030748008,-0.0013273741,-0.0032285056,0.004347666,-0.0030149252,-0.0026044366,-0.0020500356,0.003027334,0.0025174674,0.0012698404,0.0028140242,0.002548818,-0.0009186155,0.00042457326,0.00086034153,-0.0015589993,-0.003485958,0.002442113
1,0.0020798994,0.0025349262,-0.0016595481,0.0029947357,-0.0030239609,0.0022553517,0.0015422791,-0.003129681,0.0021268795,-0.0008192085,0.00084811426,-0.0036662514,0.0014605245,0.0019380518,0.0019065428,-0.0024502538,0.0039977785,-0.0009019881,-0.0012573933,-0.0013343153,-0.0042880494,0.0017826149,-2.3374756e-05,0.0024703254,0.0014450474,-0.0011377328,-0.0020884243,0.0015158602,0.0012583546,-0.0033296165,0.0026747943,-0.0012123355,0.0036038714,-0.0027043289,-0.0025065397,0.0025056456,-0.0019295228,-0.001284529,-5.2645864e-06,-0.00042703317,-0.0031735885,-0.0005502487,0.0004784392,0.0009984763,-0.0029876877,-0.00074207515,-0.001663598,0.0038474647,0.0010413461,0.0032769714,-0.0029616735,0.0024010886,-0.0022012906,-0.00053535105,0.0026510877,-0.00074100983,0.002638319,0.002893477,0.0027538734,0.0011468523,0.0030655467,-0.0036446583,0.0013954528,-0.0019464709,0.0016127484,0.0010775962,0.0009908029,0.00017332898,-0.002902788,0.0009422251,0.003915457,0.00024995868,-0.0024441811,-0.0032236865,0.0006852051,0.0007860628,0.0015838572,-0.0013469164,0.0034450456,0.0028458363,0.00174406,0.0036591645,-0.00013185787,-0.00361338,-0.0023921353,0.0040018745,0.0013371104,0.0023716367,-3.3051297e-06,-0.0021678559,0.0030937444,0.0031780147,0.0015950792,0.004245138,-0.002681354,0.0031316483,0.003733199,-0.0009780559,0.0028014295,0.0037144232,0.0005853879,0.0003667868,-0.0034931402,-0.0010910019,0.0006781701,0.0016012526,-0.0035236396,0.0029105106,0.0021731313,0.002620902,0.0005189011,0.0027984662,-0.001758839,0.0014314392,0.0027811218,-0.0029340528,-0.0036780068,-0.0034124034,-0.0019255094,0.001872558,0.003946496,-0.0024102535,-0.004121308,0.0021169896,-0.00220362,-0.0010425829,-0.0024925438,0.0028011722
10,0.0038286927,-0.0019572272,-0.0019051809,0.0028622677,0.0034965975,-0.001193444,-0.0008270576,-0.0019050457,-0.004481524,0.0033996245,0.0019256538,0.0016044565,-0.0017015595,0.002754937,-0.0017172772,0.0029978517,0.0046209185,0.0035002152,0.0016691965,-0.00030288252,0.0018161654,0.003992558,0.0019128756,-0.00027152506,-0.0013942643,-0.0033975996,0.0016591273,-0.0023944646,-0.00250676,-0.0021628514,-0.0035414356,0.003350918,0.0018036903,-0.003360256,0.0025780587,0.0028962996,0.0010111565,-0.00080379704,3.537659e-05,0.0022562335,-0.0007491967,-0.00024711888,-0.003567596,-0.0032732578,-0.002983221,-0.0039932504,0.003184752,0.0006701711,-0.0019964469,0.0034953454,5.854588e-05,-0.0019516138,0.0016469627,-0.0035349329,-0.0018993878,0.00030213318,0.0011046072,-0.0013725371,0.0005513347,-0.0015405442,-0.002167965,0.00089428603,0.00054387795,-0.0012999914,0.0012110346,0.0014409093,0.0031802286,-0.003810024,0.0028768166,0.0024506168,0.0037335488,-0.0020642772,0.0013099279,-0.0031599398,0.0038311325,-0.0034921397,-0.0038335172,0.0030510973,-0.0014322272,-0.0020852035,-0.00018709146,-0.00036602977,8.3089515e-05,-0.003688032,0.0023491178,-0.0020700411,0.0030191233,-0.0036779447,-0.0032951154,0.0031070262,0.00097074476,-0.00039831334,-0.00066976796,-0.0002818148,-0.0012413884,-0.004033028,0.0015137601,-0.002147152,-0.0019451135,-0.0011387898,0.0024973194,0.0012393533,-0.0041437056,-0.0003552254,0.00055615895,0.00082125276,0.0015320728,0.0021704156,0.0031772507,-0.00078669033,-0.0024967627,-0.0014022943,-0.0023141324,0.0046780403,-0.002390064,-0.00030254558,-0.002305762,-0.00038762638,0.0013375736,-0.003357385,0.0032771414,-0.002915684,-0.0012336128,0.0015042869,0.0030550174,0.0011523493,0.001314637,0.0024692805
11,0.0037618324,-0.0028598108,0.0014916027,0.0030896608,-0.0025508748,-0.002833384,-0.0022983183,-0.0041123945,0.0014859448,0.00034358617,0.0026461447,-0.0033629383,-0.0041884864,-0.0011527678,0.0025299264,0.0028491553,0.004452676,-0.00051450153,0.0041531436,-0.0003505595,-0.00039569355,0.0030026692,-0.0026629958,0.0008890951,-0.00045592614,0.002409043,-0.0030500125,0.002815522,-0.0026787426,-0.0003465221,-0.0040087127,-0.0011365197,0.0038680441,0.0018032991,0.0017743954,-0.0018833023,0.0021688608,-0.0010678744,0.0018094546,0.002603847,0.0006632182,-0.0042992122,0.0029700135,-0.003696424,-0.00087261165,0.0025014777,8.3552375e-05,0.00093774695,-0.00077402435,0.0015596799,-0.001274874,0.0020952804,0.001530147,-0.00028504984,0.002878137,-0.0017570873,-0.0038542994,-0.0013763651,0.001823741,0.00068485166,0.002241689,-0.0046228482,-0.003437523,0.0005497768,0.0035156838,0.00080801937,-0.00038228274,0.001582467,-0.0018514255,0.0036391718,-0.0024598197,-0.00344876,-0.0019287525,0.0014056301,-0.0016014372,-0.00021716981,0.002688318,-0.0005285794,-0.0004590821,0.00057828566,0.0031713215,0.00041756092,-0.0017001261,-0.0023031828,0.0031086474,0.0021543868,-0.0003323869,-0.0024692202,-0.0021858306,0.000406981,-0.0017064282,0.0006391313,0.0011804986,0.00045832535,-0.002163057,-0.0015008122,-0.003060328,0.00025426684,-0.0032497717,0.004119514,0.0014211094,-0.0038409568,0.0010494523,-0.0017410552,-0.0030306885,-2.8560124e-05,-0.0033616587,-0.0024481355,-0.0026086385,0.002166874,0.0030825378,0.0026987195,-0.0037456274,0.0027768577,0.0018504396,-0.0028763383,0.0013584195,0.00016916881,0.0028074977,0.0022536635,-0.0013590958,0.0037433351,-0.0002225107,3.6016234e-05,0.0024731385,0.0026069898,-0.0036318603,-0.00047020373
12,0.0036301026,-0.001508082,-0.003027936,0.0011816194,0.0015886669,0.0025104077,-0.0004982493,-0.0011990799,-0.003945817,-0.0013984898,-0.0021607983,-0.00013017267,-0.0040696855,0.0020982511,0.001092166,0.00029491403,0.0020817555,-0.0014470638,0.004591976,-0.0032626088,-0.0009513573,0.00062418054,-0.001724759,0.0024293861,-0.00284304,0.0018981935,0.0006501873,-0.0013416375,-0.0030626967,-0.0013287065,0.0030023148,0.0019300709,-0.0023186528,-0.001050945,-1.4319345e-05,0.00024739222,0.0012046096,-0.0028569049,0.00060074625,0.00022524603,-0.00016088645,0.00021648515,-0.0021468878,-0.0032218094,6.88966e-05,0.0023995887,-0.00033788895,-0.0016665912,0.0025068873,-0.0030253136,-0.0027510568,-0.001796419,-0.0014714085,0.0005625766,8.410846e-05,3.6745027e-05,0.00015952825,0.002309818,-0.0012026865,-0.003186571,-0.0013666847,-0.004250392,0.0013103657,0.00016543175,0.002304401,-0.0030637577,0.0019565173,-0.003333666,0.00041713944,0.0018482055,0.0028125066,-0.0013311261,-0.0022090683,0.00078171765,-0.0010387644,-0.0014618293,0.00065818895,-0.0032409066,0.0024823125,0.0031330313,0.0016038475,-0.0030559937,-0.0018487194,0.0021424212,-0.0025406259,0.0021307657,-0.0009848583,0.00065760716,-6.182308e-05,-0.0019213767,0.00041870718,0.0016269967,-0.0036923445,0.0016504383,7.886764e-05,-0.00032240638,0.0028607552,-0.0007928361,-0.0028755772,-0.0013659188,6.090261e-05,-0.0011855246,-0.00418679,0.0031480575,0.0016724102,-0.0010336555,0.0017816782,2.0571956e-06,0.0005020051,-0.0029153195,0.003428377,-0.0006471789,-0.00075957656,0.0019415057,-0.00057879684,0.00034042192,0.003676792,0.00089304487,0.0008241787,-0.0028231412,-0.002630055,0.002828549,0.0022211403,-0.0014549464,0.002359508,0.0014577984,-0.003836479,0.0030279446
13,0.003368641,0.0010303571,0.0028349198,0.001410901,-0.0027544152,0.0027027498,0.0037811326,0.0011750339,-0.0038067354,-0.00061857636,-0.0010287288,-0.0032880078,-0.0020855896,0.00039013292,-0.0030960396,0.0009263731,9.148837e-05,-0.0007457284,0.0020875626,0.0023963423,0.00056491327,-0.00046527726,0.0009955073,0.0040539335,-0.0009772178,-0.0014018723,-0.002995229,0.0025368975,0.0015009855,0.0009304604,0.0030316238,0.0012109575,-0.0017211298,-0.00041513052,-0.0012363996,0.0032207519,-0.0034616897,-0.0012421026,0.0038846452,0.0011231544,0.0029043593,0.0013803251,-0.00017602359,-0.0032729257,0.0034398073,0.0013054454,0.00022821219,-0.003247876,0.0018120308,-0.0012283411,0.003061922,-0.00038277588,-0.0026741363,-0.0017389683,0.0015438013,0.0017499193,-0.0018415276,-0.0028529402,-0.00023080104,0.0022361907,-0.0028440463,-0.0026991046,0.0032688521,0.0011151907,0.0005666272,-1.6305543e-05,-0.0031744782,-0.0015642517,0.0027810337,0.004075982,0.0028708773,0.002505979,0.0014125328,0.0021284963,0.002807678,0.00047375486,-0.00020331962,0.0026341293,0.0035048483,0.0017104041,0.0009518057,0.00088022306,0.0015921077,-0.003023733,-0.00024443274,0.0003657644,-0.0004064746,0.002484539,0.0011819766,-0.0024642148,-0.0035633512,-0.0023218463,0.0007848012,0.0035587144,0.0026616007,0.00023002387,0.0010686055,0.00093759195,0.00045778905,0.0021363774,-0.0016129636,0.00062006194,-0.0046472386,0.0026605253,-0.0009102749,-0.0037688857,2.4706478e-05,-0.0027888236,-0.00016672057,-0.00075422035,-0.0013677331,0.0013918653,0.0019138767,0.0035812194,-0.0015732074,-0.0030449661,-0.00047482483,-0.0010875736,0.00086549215,-0.0027763455,-0.0024371974,-0.0029778888,-0.0011174754,0.002604223,0.0026497461,1.3830355e-05,0.0014992222,0.0028349073
14,-0.00067130936,-0.0025123234,-0.0018383975,-0.0006244832,0.0020969426,-0.002622258,-0.00023790279,-0.0062119295,-0.005546221,-0.0036163114,0.0034266051,-0.0023236154,-0.0014746964,0.0029616172,0.003107521,0.0018156826,0.0050470666,0.0028694898,0.0054474124,0.0023828945,-0.0008999158,-0.0015150092,0.0019377612,0.00030674355,-0.0028467067,0.00037763864,0.002130748,0.004326764,0.0013987587,0.0036205393,-0.0035172743,0.0038442742,0.00050246774,0.0037418378,-0.00075509906,-0.0012556979,-0.0016932933,-0.0026212372,-0.0003879751,0.00025111024,0.0037244393,-0.0061224997,-0.0054503237,0.00055335613,0.0028378458,-0.0030064522,-0.0022148404,0.0034498805,7.737838e-05,0.00037072803,-0.0035893063,0.0016076778,-0.00035634427,-0.0045443512,0.0026197396,0.0036925918,0.0016490256,0.0014542275,0.0039709723,-0.0044241953,-0.0022999453,-0.0016371225,-0.0019722627,-0.002616702,-0.0011873782,0.0007048181,0.0007913359,0.00062179577,-0.0008932127,0.0006853971,-0.0022755007,-0.0044975174,0.0016658928,0.004936568,0.0055577606,-0.0027755792,0.0038573542,-0.0033221573,-0.0029858737,-0.0015612388,0.00080064003,0.0003223416,0.00020748824,-0.0008845522,-0.00024731125,-0.00025012103,-0.0020736104,8.291127e-05,0.0032029527,0.0037485564,-0.002456185,0.0005054743,0.0011346404,-0.00066285994,-0.0007078331,-0.004338466,-0.0018032497,-0.0022563366,0.0013757945,-0.0022199743,0.0017786784,-0.00439098,-0.0054232734,-0.0022300668,-0.0022558447,-0.0019148767,-0.00060373923,0.0018638449,-0.0016987032,0.002659806,0.00085457007,0.004973524,0.00023092293,0.0015733505,-0.003796795,0.0029054654,-0.0004614048,-0.00082319265,0.00088371476,-0.0039036549,0.003355918,0.0009301636,-0.0017452113,0.0026253466,0.0007739688,-0.00085148634,-0.0015172905,0.00061052816
15,0.003814461,-0.00041523355,0.0032438098,-0.0026114786,0.0037397796,0.000581166,0.0034472977,-0.0059775156,-0.0014255798,-0.0036646884,-0.0025698505,-0.0028019543,-0.004018707,0.0040806322,0.0023708753,-0.001337673,0.0026176744,-0.0011247174,0.0045632375,-0.0014477014,0.000859032,0.004603534,0.00014549492,0.0013976688,-0.004306269,-0.0034017868,-0.0010874528,-0.0013873967,-0.0013993041,0.0023925367,0.0016435164,0.0012252955,-0.0013238167,-0.000518234,-0.0033619464,0.0041818433,-0.00381163,0.002810564,-0.00051430217,-0.0036856388,0.0016627564,-0.0060283463,-0.0043373555,0.0019385627,0.003204627,0.0025277487,0.0039560897,0.0010121547,-0.00043260716,-0.0019195566,0.0039483896,0.0023159585,-0.004483558,-0.0018955156,0.001511643,0.0008663889,0.0021449684,-0.003499243,0.004975028,-0.0053599975,0.0036227761,-0.0020161914,0.0038434998,0.0023764966,-0.0036609133,-0.00051913527,0.0030093358,1.0726965e-05,-0.0034142684,0.0015754128,0.0016647927,-0.002657409,4.6712932e-05,0.0047074305,0.006236272,-0.000839762,0.0038758628,-0.0016161415,-0.0002955373,-0.0030359891,0.002014298,0.0030949083,0.003873994,-0.00060001994,0.0020771183,0.004131208,0.0024418377,-0.002204848,0.0006220323,0.0016736594,-0.0015359378,0.0018438699,-0.003677653,0.0012990086,-8.310372e-05,0.001915559,0.00074806315,-0.0028008958,0.003072723,0.0028773646,-0.00016762358,-0.0014135088,-0.0012277132,0.00028359174,0.0032667152,-0.00051114766,-0.0014793721,-0.000113054986,-0.0025934305,0.0040397947,-0.0011446179,0.00056727824,-0.004769313,-0.00065052503,0.00080502697,0.0023845958,-0.0028229107,-0.0027643892,-0.0013506757,0.00020860415,0.004825434,-0.003652102,-0.0013868605,0.003124775,0.0020720186,-0.0010211897,0.0006582326,0.0022897208
16,-0.003347367,0.0024337366,0.00095479324,0.002220328,0.0020320849,0.002820928,0.00016698553,0.0010016223,0.0018688109,-0.0028933198,-0.0028241351,-0.0015356587,-0.0032130757,-0.0035428416,-0.00067791186,-0.00093541085,0.0033101586,0.0019568296,-0.0008688259,0.0037580451,0.0002016618,0.0008252136,-0.0034253967,0.003934112,0.0014977321,-0.0024957762,-0.0025485384,-0.0029390908,-0.00096899504,-0.00031099404,0.0011869418,0.0003632868,0.0020718803,0.0016930212,-0.00057337363,-0.0028462706,0.0019388231,-0.0026567902,-0.0020382039,-0.0018920826,-7.3302376e-06,0.0007906648,-0.0020763462,-0.002666039,-0.0023333281,-0.0012195505,-0.0021569282,0.00038231825,0.00021828517,-0.0029241906,0.0027132684,-0.0019521969,0.001284002,-0.0041877315,0.0014251512,0.002513103,-0.003650094,-0.001984072,-0.0033204812,-0.0020942073,0.0022630002,-0.0024291112,0.00014884808,-0.0035021328,0.001151,0.0020036192,0.0022274544,-0.00382817,-0.0005931486,0.0028071813,0.0011876184,-0.0029888642,-0.0017505998,-0.00024064281,0.0032442873,0.0007428991,-0.00057695224,-0.0026796754,-0.0023761867,-0.0004591111,-0.0035187225,-0.0010005865,-0.0023367777,0.002676773,-0.0020200496,0.0027783376,-0.0014045687,-0.0011347858,1.9881289e-05,-0.0011620659,0.002192457,0.0018600447,0.0009636498,-0.0028106845,0.0033368485,0.0023099803,-0.0019692865,0.0016807112,-0.00026903526,0.0040917476,-0.0026411905,0.0035161315,0.00040363293,-0.001460954,-0.0030727019,0.0002894988,-0.002364691,0.0037553667,-0.0025382782,-0.0015309657,-0.0013192556,-0.00039258387,-0.0020847723,-0.0021024405,-0.0032352593,-0.0039082333,-0.0006433781,0.0036446475,0.003607774,-0.00029209477,-0.0017390304,-0.0005667283,0.0005904903,0.00033403488,0.0035739455,0.0026501096,0.0035206317,0.0018050396
17,0.0015459908,0.0018283973,-0.0027080413,0.0022024391,0.001613962,-0.0030820703,0.0024454538,-0.0043641,-0.0030286897,-0.004485698,-0.00030375435,-0.0025801489,-0.0019225776,0.0022745347,0.005137236,0.0024003587,-0.0007908173,-0.0014748474,0.0034545667,0.0015096228,-0.0020560357,-1.4622379e-05,0.00023460717,-0.0020649305,-0.0041741356,-0.003003818,0.005206423,-0.0020527607,-0.0006941842,0.0011953375,0.0005951253,0.003021459,0.0032984263,0.0014006841,-0.0032752885,-0.0015506377,0.0013623863,-0.003263969,-0.001298492,-0.0001372832,0.001870223,-0.0016721813,-0.0003726044,-0.0012719001,0.0038233711,-0.0018444298,-0.001287256,-0.001446596,-0.0016372663,0.0032198655,0.001764563,-0.0027037626,-0.00022661244,-0.004506204,0.0023773415,0.0037460993,-0.004056778,-0.0049418104,0.005474625,-0.003661841,0.0033747747,-0.0046365364,-0.0032761,-0.0007258897,-0.00021801217,-0.003678853,0.0030283232,-0.0012124891,0.0012816329,-0.00227137,-0.0028748543,-0.0054632523,-0.00084523036,-0.002487745,0.0036016875,-0.00037770506,0.0016988034,-7.002623e-05,0.00019069185,0.0029406718,-0.004061726,0.0013499489,0.0016929546,-0.0024954567,-0.002581565,0.002521355,-0.0022571909,-0.0031500405,-0.0016195703,0.0013348081,0.0019345554,0.0036792157,0.002608396,0.0011439116,-0.0025046063,-2.944941e-05,-8.178325e-05,0.004215057,0.0021752538,0.0040835286,0.0024182042,0.0015245439,-0.005432425,0.00047083406,0.0021017427,-0.00022449529,-0.0018444605,-0.0008161754,0.0022305304,-0.00042112856,-0.005160252,0.000993914,-0.0007416418,0.004764904,-0.0038916408,-0.0035750915,-0.002700422,-0.0036052682,0.0027553753,0.0026232994,-0.00068240124,-0.0033518516,-0.0012675654,0.0019065316,-0.0023032061,0.0037468174,0.0015576588,0.00056121114
